q_inv_angstrom,debye_radial_kdelr1,debye_kdt_kdelr1,prop_radial_kdelr1,prop_kdt_kdelr1
0,1,1,1,1
0.02,0.9594765656911377,0.9595979162370497,0.9594737649439834,0.9595945920873977
0.04,0.8470236055000286,0.8474240057562166,0.8470123357310243,0.847411008149173
0.06,0.6868992393126948,0.68754339910428,0.686874814805631,0.6875162172042057
0.08,0.51055369881131,0.511243806347079,0.5105156621189215,0.5112028456246906
0.1,0.3471519723235559,0.34766789857151215,0.3471079237087566,0.3476216912629621
0.12,0.21624884197855218,0.21649033404814164,0.21621547170815197,0.21645597046322088
0.14,0.12495525511094784,0.12498527438770023,0.12495406064460796,0.12498393942877246
0.16,0.06972236703513537,0.06969302826335412,0.06977077187921578,0.06974151203082377
0.18,0.04097031677103934,0.041001750678709946,0.04107245910461928,0.04110373685343049
0.2,0.028061432505307134,0.028169308630649554,0.028203863186230332,0.02831133933022578
0.22,0.022676103221275633,0.02279268763433218,0.022831356157196152,0.022947584614515897
0.24,0.019928335721890855,0.019982957829702927,0.020065090079658305,0.02011963513924396
0.26,0.01774814122408611,0.017732020237779506,0.017842946907639694,0.01782697748786649
0.28,0.015599241892303986,0.015564674691373105,0.015644147947133483,0.01560969102737926
0.3,0.013430246154889686,0.013436243090700186,0.013433119955001929,0.013438971434146893
0.32,0.011210985802213936,0.011270557100941398,0.011189355937795025,0.011248564449730896
0.34,0.008915275323943319,0.008990143184362373,0.008887646455102604,0.00896214256270756
0.36,0.006627040519758425,0.006668175386742108,0.006606027800005831,0.006646984507778567
0.38,0.00454797118229715,0.004540718258833797,0.004537904566950565,0.004530670125471317
0.4,0.002886967264996727,0.0028603197058514386,0.002885687569041545,0.002859077314015164
0.42,0.0017365394971310519,0.0017324590221947744,0.0017392192161342654,0.0017350384384887667
0.44,0.0010328938864232336,0.001067472901728479,0.001035477076583903,0.0010698146719060537
0.46,6.120494271981563e-4,6.640175535972276e-4,6.128592649426877e-4,6.645734779838464e-4
0.48,3.0411301793706265e-4,3.380711785736043e-4,3.036829328210188e-4,3.375119224242381e-4
0.5,0,0,0,0
